                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2701,                 4.0284,                 1.3133,                0.01025,                0.73333,                0.09806,                0.08769,                0.67939,                 3.8853,                0.95891,               9.09e-06,               9.09e-06,               9.09e-06
                      2,                 1.0742,                 3.9203,                 1.1896,                0.01123,                0.75833,                0.14462,                0.12477,                0.67984,                 3.8707,                0.95076,              2.673e-05,              2.673e-05,              2.673e-05
                      3,                 1.0945,                 3.9504,                 1.2016,                0.01094,                0.69167,                0.19432,                0.16532,                0.69019,                 3.8734,                0.95639,              4.365e-05,              4.365e-05,              4.365e-05
                      4,                 1.3154,                 3.9051,                 1.3446,                0.01266,                0.71667,                0.22981,                0.18448,                 0.7113,                 3.8483,                0.94517,              5.985e-05,              5.985e-05,              5.985e-05
                      5,                0.96011,                 3.7571,                 1.1402,                0.01455,                0.78333,                0.22488,                0.17053,                0.76281,                 3.8228,                  0.931,             7.5331e-05,             7.5331e-05,             7.5331e-05
                      6,                 1.0281,                 3.6132,                 1.1883,                0.01534,                0.78333,                0.27193,                0.21665,                0.82357,                 3.8006,                0.93771,             9.0091e-05,             9.0091e-05,             9.0091e-05
                      7,                 1.0497,                 3.5302,                 1.1221,                0.01766,                0.80833,                0.33015,                0.23818,                0.87035,                 3.7778,                0.94473,             0.00010413,             0.00010413,             0.00010413
                      8,                0.94863,                 3.3337,                 1.0841,                0.01855,                0.80833,                0.31636,                0.22888,                0.90192,                 3.7353,                0.95413,             0.00011745,             0.00011745,             0.00011745
                      9,                 1.0839,                 3.0548,                 1.1021,                  0.019,                0.80833,                0.38155,                 0.2958,                0.91301,                 3.7211,                0.95268,             0.00013005,             0.00013005,             0.00013005
                     10,                0.90787,                 2.9699,                 1.0066,                0.02155,                0.83333,                0.38709,                0.30188,                 0.9035,                 3.6879,                0.95338,             0.00014193,             0.00014193,             0.00014193
                     11,                0.91404,                 2.8014,                  1.085,                0.02074,                0.83333,                 0.3916,                0.31035,                0.88117,                 3.6557,                0.95486,             0.00015309,             0.00015309,             0.00015309
                     12,                0.99601,                 2.6844,                 1.1381,                0.01991,                0.80833,                0.40821,                0.33513,                0.88249,                 3.5997,                0.96196,             0.00016353,             0.00016353,             0.00016353
                     13,                0.87053,                 2.5461,                 1.0164,                0.02139,                0.80833,                 0.4032,                0.33222,                0.85941,                 3.5597,                0.96337,             0.00017326,             0.00017326,             0.00017326
                     14,                0.86802,                 2.4672,                0.96668,                0.02169,                0.80833,                0.38884,                0.31945,                0.87217,                 3.5169,                0.96684,             0.00018226,             0.00018226,             0.00018226
                     15,                0.86285,                 2.6171,                 1.0346,                0.02255,                0.80833,                0.38557,                0.30569,                0.85503,                 3.4861,                0.96461,             0.00019054,             0.00019054,             0.00019054
                     16,                0.92117,                 2.6699,                 1.0566,                0.86939,                0.18238,                0.39839,                0.31727,                0.84284,                 3.4324,                0.96185,              0.0001981,              0.0001981,              0.0001981
                     17,                0.79258,                 2.8135,                0.94301,                0.88581,                  0.208,                0.41479,                0.33566,                0.84105,                 3.4091,                0.96341,             0.00020494,             0.00020494,             0.00020494
                     18,                0.92539,                 2.4629,                  1.011,                0.70719,                    0.1,                 0.3779,                0.31089,                0.85089,                 3.3841,                0.96711,             0.00021106,             0.00021106,             0.00021106
                     19,                0.91937,                 2.5892,                  1.007,                0.70327,                    0.1,                 0.3866,                0.31442,                0.85578,                 3.3719,                0.97092,             0.00021646,             0.00021646,             0.00021646
                     20,                0.86926,                 2.1654,                 1.0195,                0.70207,                    0.1,                0.38522,                 0.3012,                0.86962,                 3.3499,                0.97465,             0.00022114,             0.00022114,             0.00022114
                     21,                0.73137,                 2.0261,                0.94691,                0.70313,                    0.1,                0.40631,                 0.3146,                0.88204,                 3.3344,                0.97486,              0.0002251,              0.0002251,              0.0002251
                     22,                0.91384,                  2.172,                 1.0837,                0.70402,                0.15815,                0.40703,                 0.3235,                0.87168,                  3.348,                0.96414,             0.00022835,             0.00022835,             0.00022835
                     23,                0.85218,                 1.9945,                0.96199,                 0.7051,                0.16623,                0.40318,                0.32491,                0.87225,                 3.3777,                0.96873,             0.00023087,             0.00023087,             0.00023087
                     24,                 0.8273,                 1.9678,                 1.0139,                0.70827,                0.16547,                0.37459,                0.30008,                0.89629,                 3.4258,                0.99841,             0.00023267,             0.00023267,             0.00023267
                     25,                0.84644,                 1.8704,                 1.0025,                0.70645,                   0.15,                0.35689,                0.28838,                0.87566,                 3.4797,                 1.0161,             0.00023375,             0.00023375,             0.00023375
                     26,                0.81776,                  1.863,                 1.0025,                0.71363,                    0.1,                0.35524,                 0.2827,                0.87074,                 3.5513,                 1.0522,             0.00023411,             0.00023411,             0.00023411
                     27,                0.86089,                 1.7949,                 1.0132,                0.91098,                    0.1,                0.36259,                 0.2857,                0.87035,                 3.5314,                 1.0673,             0.00023375,             0.00023375,             0.00023375
                     28,                0.70294,                 1.5622,                 0.9697,                0.91098,                    0.1,                0.36259,                 0.2857,                0.87035,                 3.5314,                 1.0673,             0.00023268,             0.00023268,             0.00023268
                     29,                 0.8375,                  1.652,                 1.0467,                0.70749,                    0.1,                0.36312,                0.28734,                0.84852,                 3.4397,                 1.0562,             0.00023088,             0.00023088,             0.00023088
                     30,                0.90499,                 1.7127,                 1.0234,                0.71575,                0.10433,                0.42277,                0.33505,                 0.8567,                 3.3275,                  1.053,             0.00022836,             0.00022836,             0.00022836
                     31,                0.93363,                 1.6987,                 1.0934,                0.71575,                0.10433,                0.42277,                0.33505,                 0.8567,                 3.3275,                  1.053,             0.00022512,             0.00022512,             0.00022512
                     32,                0.81684,                 1.6037,                0.97868,                0.73348,                0.16469,                0.42655,                0.33466,                0.86383,                 3.2268,                 1.0465,             0.00022117,             0.00022117,             0.00022117
                     33,                0.75029,                 1.5352,                0.98646,                0.74507,                0.19373,                0.56793,                0.45674,                0.85931,                 3.0823,                 1.0403,             0.00021649,             0.00021649,             0.00021649
                     34,                0.83359,                 1.5598,                 1.0097,                0.74507,                0.19373,                0.56793,                0.45674,                0.85931,                 3.0823,                 1.0403,             0.00021109,             0.00021109,             0.00021109
                     35,                0.77324,                 1.4986,                0.97307,                0.72321,                 0.2141,                0.60362,                0.48487,                0.83361,                  2.912,                 1.0198,             0.00020497,             0.00020497,             0.00020497
                     36,                0.65697,                 1.4823,                0.96619,                0.72101,                0.25406,                   0.65,                0.51854,                0.82987,                 2.7886,                 1.0136,             0.00019813,             0.00019813,             0.00019813
                     37,                0.83227,                 1.3862,                0.99603,                0.72101,                0.25406,                   0.65,                0.51854,                0.82987,                 2.7886,                 1.0136,             0.00019058,             0.00019058,             0.00019058
                     38,                0.80584,                 1.7017,                 1.1221,                0.71865,                0.31729,                0.64466,                0.51175,                 0.8416,                 2.7057,                 1.0132,              0.0001823,              0.0001823,              0.0001823
                     39,                0.94348,                 1.6835,                 1.1659,                0.50827,                0.33605,                0.67358,                0.55234,                0.82953,                 2.6247,                 1.0083,              0.0001733,              0.0001733,              0.0001733
                     40,                0.80158,                  1.447,                0.99167,                0.50827,                0.33605,                0.67358,                0.55234,                0.82953,                 2.6247,                 1.0083,             0.00016359,             0.00016359,             0.00016359
                     41,                0.77421,                 1.7365,                 1.0453,                0.53538,                 0.3459,                 0.6692,                0.55006,                0.82127,                 2.5897,                 1.0039,             0.00015315,             0.00015315,             0.00015315
                     42,                0.64862,                 1.9966,                0.94775,                0.57209,                0.57956,                0.66368,                0.56803,                0.83806,                 2.5895,                 1.0087,             0.00014199,             0.00014199,             0.00014199
                     43,                  0.789,                 1.5886,                0.93611,                0.57209,                0.57956,                0.66368,                0.56803,                0.83806,                 2.5895,                 1.0087,             0.00013011,             0.00013011,             0.00013011
                     44,                0.74924,                 1.3945,                  1.002,                0.50188,                0.51256,                0.63812,                0.55003,                0.85726,                 2.5665,                 1.0148,             0.00011752,             0.00011752,             0.00011752
                     45,                0.70886,                 1.4674,                 1.0073,                0.50188,                0.51256,                0.63812,                0.55003,                0.85726,                 2.5665,                 1.0148,              0.0001042,              0.0001042,              0.0001042
                     46,                0.67056,                 1.3305,                0.94855,                0.48681,                0.51667,                0.64008,                0.52941,                0.86096,                 2.5518,                 1.0179,             9.0164e-05,             9.0164e-05,             9.0164e-05
                     47,                0.73956,                 1.3901,                 1.0195,                0.48681,                0.51667,                0.64008,                0.52941,                0.86096,                 2.5518,                 1.0179,             7.5407e-05,             7.5407e-05,             7.5407e-05
                     48,                0.70985,                 1.3685,                0.96872,                0.47383,                0.51667,                0.65104,                0.53479,                0.87446,                 2.5111,                 1.0236,              5.993e-05,              5.993e-05,              5.993e-05
                     49,                0.74038,                 1.6871,                 1.0455,                0.47383,                0.51667,                0.65104,                0.53479,                0.87446,                 2.5111,                 1.0236,             4.3734e-05,             4.3734e-05,             4.3734e-05
                     50,                 0.6393,                 1.2395,                0.93769,                0.51316,                0.55159,                0.65905,                0.54128,                0.87605,                 2.4499,                 1.0258,             2.6817e-05,             2.6817e-05,             2.6817e-05
